session_time,lap,pos_x,pos_y,pos_z,speed,throttle,brake
1402.772705078125,14,-430.35003662109375,63.29752731323242,661.0377807617188,126,0.0,0.0
1402.7891845703125,14,-430.133056640625,63.30240249633789,661.5781860351562,125,0.0,0.0
1402.8060302734375,14,-429.9137268066406,63.307552337646484,662.1167602539062,125,0.0,0.0
1402.8228759765625,14,-429.6917419433594,63.31293487548828,662.6534423828125,125,0.0,0.0
1402.8397216796875,14,-429.4668884277344,63.31840133666992,663.1879272460938,125,0.0,0.0
1402.8565673828125,14,-429.239013671875,63.323829650878906,663.72021484375,125,0.0,0.0
1402.8729248046875,14,-429.0078430175781,63.32918167114258,664.2503051757812,125,0.0,0.0
1402.8896484375,14,-428.77313232421875,63.3343505859375,664.7779541015625,124,0.0,0.0
1402.90625,14,-428.5350646972656,63.339256286621094,665.3032836914062,124,0.0,0.0
1402.9229736328125,14,-428.29400634765625,63.34395980834961,665.826416015625,124,0.0,0.0
1402.939697265625,14,-428.0503234863281,63.3484992980957,666.3473510742188,124,0.0,0.0
1402.9559326171875,14,-427.8044738769531,63.35282516479492,666.8665771484375,124,0.0,0.0
1402.9725341796875,14,-427.55682373046875,63.35693359375,667.3841552734375,124,0.0,0.0
1402.9892578125,14,-427.3077087402344,63.360862731933594,667.9002685546875,123,0.0,0.0
1403.0057373046875,14,-427.05755615234375,63.3647575378418,668.4151611328125,123,0.0,0.0
1403.0223388671875,14,-426.8067321777344,63.36869430541992,668.928955078125,123,0.0,0.0
1403.0389404296875,14,-426.5553894042969,63.37266540527344,669.4417114257812,123,0.0,0.0
1403.0555419921875,14,-426.30322265625,63.376708984375,669.953369140625,123,0.0,0.0
1403.0723876953125,14,-426.0500793457031,63.38082504272461,670.4637451171875,123,0.0,0.0
1403.089111328125,14,-425.79583740234375,63.38494110107422,670.9728393554688,123,0.0,0.0
1403.1058349609375,14,-425.5402526855469,63.38907241821289,671.4805297851562,122,0.0,0.0
1403.12255859375,14,-425.28314208984375,63.39328384399414,671.9866333007812,122,0.0,0.0
1403.1392822265625,14,-425.0242614746094,63.397518157958984,672.4910278320312,122,0.0,0.0
1403.1558837890625,14,-424.7634582519531,63.401615142822266,672.99365234375,122,0.0,0.0
1403.1724853515625,14,-424.50048828125,63.405548095703125,673.4944458007812,122,0.0,0.0
