session_time,lap,speed,throttle,brake
0.0068359398283064365,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.0068359398283064365,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.0068359398283064365,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
8320.0,0,0,0.0,0.0
0.009460453875362873,0,0,0.0,0.0
