time,speed,throttle,brake,gear
1774799601.3593814,124,117,79,131
1774799601.410307,124,117,79,131
1774799601.4103305,124,117,79,131
1774799601.4103363,124,117,79,131
1774799601.4103396,124,117,79,131
1774799601.410343,124,117,79,131
1774799601.410346,124,117,79,131
1774799601.410362,124,117,79,131
1774799601.4103703,124,117,79,131
1774799601.4609787,124,117,79,131
1774799601.4609976,124,117,79,131
1774799601.4610023,124,117,79,131
1774799601.4610064,124,117,79,131
1774799601.4610107,124,117,79,131
1774799601.4610143,124,117,79,131
1774799601.4610176,124,117,79,131
1774799601.5065396,124,117,79,131
1774799601.5065575,124,117,79,131
1774799601.506562,124,117,79,131
1774799601.5065653,124,117,79,131
1774799601.5065687,124,117,79,131
1774799601.506572,124,117,79,131
1774799601.506575,124,117,79,131
1774799601.506578,124,117,79,131
1774799601.5065875,124,117,79,131
1774799601.5065906,124,117,79,131
1774799601.5574725,124,117,79,131
1774799601.55749,124,117,79,131
1774799601.5574954,124,117,79,131
1774799601.5574987,124,117,79,131
1774799601.557502,124,117,79,131
1774799601.5575054,124,117,79,131
1774799601.5575078,124,117,79,131
1774799601.6091268,124,117,79,131
1774799601.6091495,124,117,79,131
1774799601.6091545,124,117,79,131
1774799601.6091578,124,117,79,131
1774799601.6091602,124,117,79,131
1774799601.609172,124,117,79,131
1774799601.6091766,124,117,79,131
1774799601.609185,124,117,79,131
1774799601.6598587,124,117,79,131
1774799601.6598794,124,117,79,131
1774799601.6598837,124,117,79,131
1774799601.6598868,124,117,79,131
1774799601.6598902,124,117,79,131
1774799601.6598933,124,117,79,131
1774799601.6598961,124,117,79,131
1774799601.7106986,124,117,79,131
1774799601.7107189,124,117,79,131
1774799601.7107317,124,117,79,131
1774799601.7107372,124,117,79,131
1774799601.7107418,124,117,79,131
1774799601.7107458,124,117,79,131
1774799601.7107506,124,117,79,131
1774799601.7107556,124,117,79,131
1774799601.761488,124,117,79,131
1774799601.7615058,124,117,79,131
1774799601.7615116,124,117,79,131
1774799601.761515,124,117,79,131
1774799601.7615175,124,117,79,131
1774799601.7615204,124,117,79,131
1774799601.7615228,124,117,79,131
1774799601.8061419,124,117,79,131
1774799601.8061607,124,117,79,131
1774799601.8061655,124,117,79,131
1774799601.8061688,124,117,79,131
1774799601.8061724,124,117,79,131
1774799601.8061752,124,117,79,131
1774799601.8061783,124,117,79,131
1774799601.8061814,124,117,79,131
1774799601.8563316,124,117,79,131
1774799601.856353,124,117,79,131
1774799601.8563583,124,117,79,131
1774799601.8563623,124,117,79,131
1774799601.8563664,124,117,79,131
1774799601.8563704,124,117,79,131
1774799601.8563735,124,117,79,131
1774799601.9064188,124,117,79,131
1774799601.90644,124,117,79,131
1774799601.9064443,124,117,79,131
1774799601.9064476,124,117,79,131
1774799601.90645,124,117,79,131
1774799601.9064662,124,117,79,131
1774799601.9064791,124,117,79,131
1774799601.9065018,124,117,79,131
1774799601.9564178,124,117,79,131
1774799601.9564362,124,117,79,131
1774799601.9564412,124,117,79,131
1774799601.9564443,124,117,79,131
